time,4 batch T,3 batch T
12.5,103.82,66.967
25,113.06,71.815
37.5,114.71,72.688
50,115.34,73.018
62.5,115.8,73.283
75,116.22,73.508
87.5,116.6,73.716
100,116.95,73.91
112.5,117.29,74.093
125,117.6,74.266
137.5,117.9,74.43
150,118.18,74.586
162.5,118.45,74.734
175,118.71,74.875
187.5,118.96,75.011
200,119.2,75.142
212.5,119.42,75.267
225,119.64,75.388
237.5,119.85,75.505
250,120.06,75.617
262.5,120.26,75.726
275,120.45,75.83
287.5,120.63,75.927
300,120.81,76.031
312.5,120.98,76.128
325,121.16,76.222
337.5,121.32,76.313
350,121.48,76.402
362.5,121.64,76.488
375,121.79,76.573
387.5,121.94,76.656
400,122.08,76.736
412.5,122.23,76.815
425,122.37,76.893
437.5,122.5,76.968
450,122.64,77.042
462.5,122.77,77.115
475,122.9,77.186
487.5,123.02,77.256
500,123.15,77.325
512.5,123.27,77.393
525,123.39,77.459
537.5,123.51,77.525
550,123.62,77.589
562.5,123.74,77.653
575,123.85,77.716
587.5,123.96,77.777
600,124.07,77.838
612.5,124.18,77.898
625,124.28,77.957
637.5,124.39,78.015
650,124.49,78.07
662.5,124.6,78.13
675,124.7,78.186
687.5,124.8,78.242
700,124.89,78.296
712.5,124.99,78.351
725,125.09,78.405
737.5,125.18,78.459
750,125.28,78.511
762.5,125.37,78.562
775,125.46,78.614
787.5,125.56,78.665
800,125.65,78.716
812.5,125.74,78.766
825,125.82,78.816
837.5,125.91,78.865
850,126,78.91
862.5,126.09,78.962
875,126.17,79.009
887.5,126.26,79.057
900,126.34,79.103
912.5,126.42,79.15
925,126.51,79.197
937.5,126.59,79.242
950,126.67,79.288
962.5,126.75,79.333
975,126.83,79.378
987.5,126.91,79.422
1000,126.99,79.466
1012.5,127.07,79.51
1025,127.14,79.553
1037.5,127.22,79.594
1050,127.3,79.639
1062.5,127.37,79.682
1075,127.45,79.724
1087.5,127.52,79.766
1100,127.6,79.807
1112.5,127.67,79.848
1125,127.74,79.89
1137.5,127.82,79.93
1150,127.89,79.971
1162.5,127.96,80.012
1175,128.03,80.051
1187.5,128.1,80.091
1200,128.17,80.131
1212.5,128.24,80.17
1225,128.31,80.209
1237.5,128.38,80.248
1250,128.45,80.286
1262.5,128.52,80.324
1275,128.58,80.362
1287.5,128.65,80.4
1300,128.72,80.438
1312.5,128.78,80.476
1325,128.85,80.513
1337.5,128.92,80.55
1350,128.98,80.587
1362.5,129.05,80.623
1375,129.11,80.659
1387.5,129.17,80.695
1400,129.24,80.732
1412.5,129.3,80.768
1425,129.36,80.803
1437.5,129.43,80.838
1450,129.49,80.873
1462.5,129.55,80.909
1475,129.61,80.943
1487.5,129.67,80.977
1500,129.73,81.012
1512.5,129.8,81.046
1525,129.86,81.08
1537.5,129.92,81.114
1550,129.97,81.147
1562.5,130.03,81.181
1575,130.09,81.215
1587.5,130.15,81.248
1600,130.21,81.281
1612.5,130.27,81.313
1625,130.33,81.346
1637.5,130.38,81.379
1650,130.44,81.412
1662.5,130.5,81.444
1675,130.55,81.476
1687.5,130.61,81.507
1700,130.67,81.539
1712.5,130.72,81.571
1725,130.78,81.603
1737.5,130.83,81.634
1750,130.89,81.665
1762.5,130.94,81.696
1775,131,81.727
1787.5,131.05,81.758
1800,131.11,81.788
1812.5,131.16,81.819
1825,131.21,81.849
1837.5,131.27,81.879
1850,131.32,81.909
1862.5,131.37,81.939
1875,131.42,81.967
1887.5,131.48,81.999
1900,131.53,82.028
1912.5,131.58,82.058
1925,131.63,82.087
1937.5,131.68,82.116
1950,131.73,82.145
1962.5,131.78,82.175
1975,131.84,82.204
1987.5,131.89,82.232
2000,131.94,82.261
2012.5,131.99,82.289
2025,132.04,82.317
2037.5,132.09,82.346
2050,132.14,82.374
2062.5,132.18,82.402
2075,132.23,82.43
2087.5,132.28,82.457
2100,132.33,82.485
2112.5,132.38,82.513
2125,132.43,82.54
2137.5,132.48,82.568
2150,132.52,82.595
2162.5,132.57,82.622
2175,132.62,82.649
2187.5,132.67,82.676
2200,132.71,82.703
2212.5,132.76,82.73
2225,132.81,82.756
2237.5,132.85,82.783
2250,132.9,82.81
2262.5,132.94,82.836
2275,132.99,82.862
2287.5,133.04,82.888
2300,133.08,82.914
2312.5,133.13,82.941
2325,133.17,82.966
2337.5,133.22,82.992
2350,133.26,83.018
2362.5,133.31,83.043
2375,133.35,83.07
2387.5,133.4,83.094
2400,133.44,83.12
2412.5,133.48,83.145
2425,133.53,83.17
2437.5,133.57,83.195
2450,133.62,83.22
2462.5,133.66,83.246
2475,133.7,83.27
2487.5,133.75,83.295
2500,133.79,83.319
