time,Ferrite peak temp,Side 1 of leg,Side 2 of leg,Foot of leg,Top of leg
0,25,25,25,25,25
0.5,36.64,32.159,36.64,34.075,26.607
1,41.564,36.906,41.564,39.142,27.987
1.5,44.37,39.862,44.37,42.203,29.013
2,46.064,41.669,46.064,44.065,29.736
2.5,47.107,42.776,47.107,45.206,30.233
3,47.757,43.462,47.757,45.911,30.57
3.5,48.167,43.891,48.167,46.352,30.797
4,48.426,44.162,48.426,46.63,30.95
4.5,48.597,44.339,48.597,46.812,31.053
5,48.713,44.456,48.713,46.933,31.123
5.5,61.244,51.829,61.244,56.515,32.803
6,66.749,56.92,66.749,62.012,34.251
6.5,69.935,60.17,69.935,65.416,35.34
7,71.892,62.202,71.892,67.534,36.118
7.5,73.121,63.475,73.121,68.859,36.66
8,73.902,64.28,73.902,69.697,37.034
8.5,74.392,64.797,74.392,70.228,37.292
9,74.727,65.133,74.727,70.58,37.469
9.5,74.955,65.36,74.955,70.817,37.592
10,75.114,65.517,75.114,70.983,37.68
10.5,87.686,72.556,87.686,80.363,39.265
11,93.285,77.519,93.285,85.811,40.643
11.5,96.558,80.752,96.558,89.239,41.691
12,98.592,82.808,98.592,91.406,42.447
12.5,99.887,84.115,99.887,92.782,42.982
13,100.72,84.959,100.72,93.669,43.355
13.5,101.27,85.509,101.27,94.248,43.617
14,101.65,85.874,101.65,94.635,43.802
14.5,101.9,86.129,101.9,94.903,43.934
15,102.08,86.311,102.08,95.092,44.032
15.5,115.13,93.28,115.13,104.61,45.584
16,120.96,98.273,120.96,110.17,46.942
16.5,124.37,101.58,124.37,113.7,47.982
17,126.5,103.71,126.5,115.95,48.741
17.5,127.87,105.07,127.87,117.4,49.282
18,128.77,105.97,128.77,118.34,49.665
18.5,129.37,106.56,129.37,118.97,49.937
19,129.78,106.96,129.78,119.39,50.131
19.5,130.07,107.24,130.07,119.69,50.273
20,130.28,107.45,130.28,119.9,50.382
20.5,130.44,107.6,130.44,120.07,50.464
21,130.58,107.73,130.58,120.2,50.53
21.5,130.7,107.84,130.7,120.32,50.585
22,130.79,107.93,130.79,120.42,50.633
22.5,130.88,108.02,130.88,120.51,50.677
23,130.97,108.1,130.97,120.59,50.717
23.5,131.05,108.17,131.05,120.68,50.755
24,131.13,108.25,131.13,120.75,50.792
24.5,131.21,108.32,131.21,120.83,50.827
25,131.28,108.39,131.28,120.91,50.862
25.5,131.36,108.46,131.36,120.98,50.896
26,131.43,108.53,131.43,121.05,50.93
26.5,131.5,108.6,131.5,121.12,50.963
27,131.57,108.66,131.57,121.2,50.996
27.5,84.861,82.03,84.861,84.356,45.19
28,63.108,61.998,63.108,62.775,39.876
28.5,49.478,48.87,49.478,49.263,35.731
29,41.08,40.699,41.08,40.93,32.711
29.5,35.958,35.701,35.958,35.842,30.605
30,32.844,32.653,32.844,32.742,29.177
30.5,30.964,30.807,30.964,30.861,28.223
31,29.838,29.689,29.825,29.717,27.593
31.5,29.147,29.004,29.124,29.013,27.18
32,28.717,28.581,28.687,28.574,26.909
32.5,28.445,28.315,28.411,28.297,26.732
33,28.269,28.143,28.233,28.118,26.615
33.5,28.153,28.03,28.115,28,26.538
34,28.073,27.953,28.034,27.92,26.486
34.5,28.016,27.898,27.977,27.863,26.45
35,27.974,27.858,27.934,27.821,26.424
