,MKP-L simulations for different ferrite TCC,,,
Time [s],TEMP [C] TCC 30,TEMP [C] TCC 300,TEMP [C] TCC 600,TEMP [C] TCC 3000
240,35.376,35.377,35.378,35.378
480,35.366,35.368,35.369,35.37
720,35.369,35.373,35.375,35.377
960,35.392,35.396,35.399,35.402
1200,35.425,35.432,35.436,35.44
1440,35.468,35.479,35.483,35.488
1680,35.519,35.536,35.541,35.546
1920,35.576,35.603,35.609,35.614
2160,35.641,35.677,35.683,35.688
2400,35.712,35.758,35.764,35.77
2640,35.789,35.845,35.852,35.857
2880,35.87,35.937,35.945,35.95
3120,35.957,36.035,36.043,36.048
3360,36.047,36.138,36.146,36.151
3600,36.143,36.245,36.253,36.259
3840,36.242,36.356,36.365,36.37
4080,36.345,36.472,36.481,36.486
4320,36.452,36.591,36.6,36.605
4560,36.562,36.714,36.724,36.728
4800,36.676,36.841,36.851,36.855
5040,36.793,36.971,36.981,36.985
5280,36.914,37.105,37.115,37.119
5520,37.037,37.241,37.252,37.255
5760,37.164,37.381,37.391,37.395
6000,37.293,37.523,37.534,37.537
6240,37.425,37.669,37.679,37.682
6480,37.56,37.816,37.827,37.83
6720,37.697,37.967,37.977,37.98
6960,37.837,38.119,38.13,38.132
7200,37.981,38.274,38.285,38.287
7440,38.126,38.431,38.442,38.444
7680,38.273,38.59,38.601,38.603
7920,38.423,38.751,38.762,38.764
8160,38.575,38.914,38.925,38.926
8400,38.729,39.078,39.09,39.09
8640,38.885,39.244,39.256,39.256
8880,39.044,39.412,39.423,39.423
9120,39.204,39.581,39.592,39.592
9360,39.366,39.751,39.762,39.761
9600,39.529,39.923,39.934,39.932
9840,39.694,40.095,40.106,40.105
10080,39.86,40.268,40.28,40.278
10320,40.026,40.443,40.454,40.452
10560,40.194,40.618,40.629,40.627
10800,40.363,40.794,40.805,40.802
11040,40.533,40.971,40.982,40.978
11280,40.704,41.148,41.159,41.155
11520,40.876,41.326,41.336,41.333
11760,41.048,41.504,41.515,41.51
12000,41.221,41.683,41.693,41.688
12240,41.394,41.862,41.872,41.867
12480,41.568,42.041,42.051,42.045
12720,41.742,42.221,42.23,42.224
12960,41.917,42.4,42.409,42.403
13200,42.093,42.58,42.589,42.582
13440,42.268,42.759,42.768,42.761
13680,42.444,42.939,42.948,42.94
13920,42.619,43.119,43.127,43.119
14160,42.795,43.298,43.306,43.298
14400,42.971,43.478,43.486,43.477
